YEAR,DATE,PLANE,DEP,DES,DYLAND,NILAND,APPR,HOURS,NIGHT,IFR,GAD,CFI,STDNT,DUAL,PIC,SIC,SFTY,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1982,713,N5260B,I19,I19,1,0,0,5,0,0,0,0,0,5,0,0,0,,,,,
1982,715,N5260B,I19,I19,1,0,0,5,0,0,0,0,0,5,0,0,0,,,,,
1982,721,N5260B,I19,I19,1,0,0,6,0,0,0,0,0,6,0,0,0,,,,,
1982,723,N5260B,I19,I19,1,0,0,9,0,0,0,0,0,9,0,0,0,,,,,
1982,729,N25257,I19,I19,1,0,0,8,0,0,0,0,0,8,0,0,0,,,,,
1982,730,N25257,I19,I19,1,0,0,10,0,0,0,0,0,10,0,0,0,,,,,
1982,811,N25257,I19,I19,1,0,0,10,0,0,3,0,0,10,0,0,0,,,,,
1982,812,N25257,I19,I19,1,0,0,10,0,0,0,0,0,10,0,0,0,,,,,
1982,814,N5260B,I19,I19,1,0,0,10,0,0,0,0,0,10,0,0,0,,,,,
1982,817,N5260B,I19,I19,1,0,0,7,0,0,0,0,0,7,0,0,0,,,,,
1982,819,N5260B,I19,I19,1,0,0,8,0,0,0,0,0,8,0,0,0,,,,,
1982,825,N5260B,I19,I19,1,0,0,10,0,0,0,0,0,10,0,0,0,,,,,
1982,826,N5260B,I19,I19,1,0,0,9,0,0,0,0,0,6,3,0,0,,,,,
1982,901,N5260B,I19,I19,1,0,0,10,0,0,0,0,0,5,5,0,0,,,,,
1982,903,N25257,I19,I19,1,0,0,12,0,0,0,0,0,4,8,0,0,,,,,
1982,904,N25257,I19,I19,1,0,0,16,0,0,0,0,0,0,16,0,0,,,,,
1982,905,N5260B,I19,I19,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1982,907,N5408E,I19,LUK,1,0,0,6,0,0,0,0,0,6,0,0,0,,,,,
1982,907,N5408E,LUK,I19,1,0,0,7,0,0,0,0,0,7,0,0,0,,,,,
1982,918,N25257,I19,TOL,1,0,0,16,0,0,0,0,0,16,0,0,0,,,,,
1982,918,N25257,TOL,OSU,1,0,0,12,0,0,0,0,0,12,0,0,0,,,,,
1982,918,N25257,OSU,I19,1,0,0,6,0,0,0,0,0,6,0,0,0,,,,,
1982,921,N25257,I19,I19,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1982,923,N25257,I19,I22,1,0,0,8,0,0,0,0,0,0,8,0,0,,,,,
1982,923,N25257,I22,I19,1,0,0,7,0,0,0,0,0,0,7,0,0,,,,,
1982,929,N25257,I19,UWL,1,0,0,8,0,0,0,0,0,0,8,0,0,,,,,
1982,929,N25257,UWL,CVG,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1982,929,N25257,CVG,I19,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1982,930,N25257,I19,CRW,1,0,0,19,0,0,0,0,0,0,19,0,0,,,,,
1982,930,N25257,CRW,IOB,1,0,0,16,0,0,0,0,0,0,16,0,0,,,,,
1982,930,N25257,IOB,I19,1,0,0,16,0,0,0,0,0,0,16,0,0,,,,,
1982,1001,N25257,I19,I19,1,0,0,9,0,0,0,0,0,9,0,0,0,,,,,
1982,1005,N5260B,I19,I19,0,1,0,12,12,0,0,0,0,12,0,0,0,,,,,
1982,1006,N5260B,I19,I19,1,0,0,10,0,0,3,0,0,10,0,0,0,,,,,
1982,1011,N5260B,I19,I19,1,0,0,6,0,0,0,0,0,6,0,0,0,,,,,
1982,1011,N5260B,I19,GEO,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1982,1011,N5260B,GEO,I19,1,0,0,8,0,0,0,0,0,0,8,0,0,,,,,
1982,1012,N5260B,I19,I19,1,0,0,6,0,0,0,0,0,6,0,0,0,,,,,
1982,1013,N25257,I19,I19,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1982,1014,N25257,I19,I19,1,0,0,4,0,0,0,0,0,4,0,0,0,,,,,
1982,1021,N25257,I19,I19,1,0,0,12,0,0,2,0,0,0,12,0,0,,,,,
1982,1023,N25257,I19,I19,0,1,0,11,11,0,0,0,0,0,11,0,0,,,,,
1982,1026,N5260B,I19,OSU,1,0,0,11,0,0,0,0,0,0,11,0,0,,,,,
1982,1026,N5260B,OSU,OSU,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1982,1026,N5260B,OSU,I19,0,1,0,8,8,0,0,0,0,0,8,0,0,,,,,
1982,1101,N1629E,I19,I32,1,0,0,18,0,0,0,0,0,0,18,0,0,,,,,
1982,1101,N1629E,I32,I32,1,0,0,2,0,0,0,0,0,0,2,0,0,,,,,
1982,1101,N1629E,I32,I19,1,0,0,13,0,0,0,0,0,0,13,0,0,,,,,
1982,1124,N1629E,I19,CRW,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1982,1124,N1629E,CRW,CRW,1,0,0,8,0,0,0,0,0,0,8,0,0,,,,,
1982,1125,N1629E,CRW,CRW,1,0,0,14,0,0,0,0,0,0,14,0,0,,,,,
1982,1126,N1629E,CRW,CRW,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1982,1127,N1629E,CRW,I19,1,0,0,16,0,0,0,0,0,0,16,0,0,,,,,
1982,1212,N1629E,I19,I19,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1982,1220,N1629E,I19,LOU,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1982,1220,N1629E,LOU,PAH,1,0,0,20,0,0,0,0,0,0,20,0,0,,,,,
1982,1220,N1629E,PAH,1M1,1,0,0,26,0,0,0,0,0,0,26,0,0,,,,,
1982,1221,N1629E,1M1,1M1,1,0,0,7,0,0,0,0,0,0,7,0,0,,,,,
1982,1222,N1629E,1M1,1M1,0,1,0,3,3,0,0,0,0,0,3,0,0,,,,,
1982,1223,N1629E,1M1,1M1,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1982,1223,N1629E,1M1,RVS,1,0,0,22,0,0,0,0,0,0,22,0,0,,,,,
1982,1223,N1629E,RVS,RVS,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1982,1223,N1629E,RVS,RVS,0,1,0,9,9,0,0,0,0,0,9,0,0,,,,,
1982,1225,N1629E,RVS,TKI,1,0,0,20,0,0,0,0,0,0,20,0,0,,,,,
